 
  Impact-EELS Intensity
 
  All energies in meV
 
  High-symmetry points and/or path breaks detected at the following q_idxs:
    1   350   474   845  1147  1394  1569 

  The path spacings (in inverse Angstrom) between these points are:
    4.9858E-03    4.9633E-03    4.9903E-03    4.9902E-03    4.9830E-03    4.9719E-03
 
 
  q_idx    mode_idx      Energy               I_eels
   45         2        16.327908        0.000000000000E+00
   45         3        16.327908        0.000000000000E+00
   45         4       142.946056        0.511965490643E-04
   45         5       129.688712        0.000000000000E+00
   45         6       129.688712        0.000000000000E+00
   46         1        22.114066        0.249441835311E-03
   46         2        16.692916        0.000000000000E+00
   46         3        16.692916        0.000000000000E+00
   46         4       143.407212        0.479861671787E-04
   46         5       129.679473        0.000000000000E+00
   46         6       129.679473        0.000000000000E+00
   47         1        22.598763        0.239451789135E-03
   47         2        17.057507        0.000000000000E+00
   47         3        17.057507        0.000000000000E+00
   47         4       143.867111        0.450035650631E-04
   47         5       129.668672        0.000000000000E+00
   47         6       129.668672        0.000000000000E+00
   48         1        23.083069        0.230046090588E-03
   48         2        17.421670        0.000000000000E+00
   48         3        17.421670        0.000000000000E+00
   48         4       144.325280        0.422309307020E-04
   48         5       129.656271        0.000000000000E+00
   48         6       129.656271        0.000000000000E+00
   49         1        23.566981        0.221170547410E-03
   49         2        17.785397        0.000000000000E+00
   49         3        17.785397        0.000000000000E+00
   49         4       144.781260        0.396478332217E-04
   49         5       129.642231        0.000000000000E+00
   49         6       129.642231        0.000000000000E+00
   50         1        24.050494        0.212787470562E-03
   50         2        18.148679        0.000000000000E+00
   50         3        18.148679        0.000000000000E+00
   50         4       145.234606        0.372403059611E-04
   50         5       129.626520        0.000000000000E+00
   50         6       129.626520        0.000000000000E+00
   51         1        24.533605        0.204862436096E-03
   51         2        18.511507        0.000000000000E+00
   51         3        18.511507        0.000000000000E+00
   51         4       145.684885        0.349954922792E-04
   51         5       129.609109        0.000000000000E+00
   51         6       129.609109        0.000000000000E+00
   52         1        25.016311        0.197354682565E-03
   52         2        18.873874        0.000000000000E+00
   52         3        18.873874        0.000000000000E+00
   52         4       146.131679        0.328982345487E-04
   52         5       129.589970        0.000000000000E+00
   52         6       129.589970        0.000000000000E+00
   53         1        25.498606        0.190236738949E-03
   53         2        19.235770        0.000000000000E+00
   53         3        19.235770        0.000000000000E+00
   53         4       146.574583        0.309383308895E-04
   53         5       129.569083        0.000000000000E+00
   53         6       129.569083        0.000000000000E+00
   54         1        25.980488        0.183483335786E-03
   54         2        19.597189        0.000000000000E+00
   54         3        19.597189        0.000000000000E+00
   54         4       147.013208        0.291063207975E-04
   54         5       129.546427        0.000000000000E+00
   54         6       129.546427        0.000000000000E+00
   55         1        26.461954        0.177063204037E-03
   55         2        19.958122        0.000000000000E+00
   55         3        19.958122        0.000000000000E+00
   55         4       147.447177        0.273907622551E-04
   55         5       129.521989        0.000000000000E+00
   55         6       129.521989        0.000000000000E+00
   56         1        26.943000        0.170955998669E-03
   56         2        20.318561        0.000000000000E+00
   56         3        20.318561        0.000000000000E+00
   56         4       147.876132        0.257840691218E-04
   56         5       129.495757        0.000000000000E+00
   56         6       129.495757        0.000000000000E+00
   57         1        27.423622        0.165142885182E-03
   57         2        20.678498        0.000000000000E+00
   57         3        20.678498        0.000000000000E+00
   57         4       148.299726        0.242791597451E-04
   57         5       129.467723        0.000000000000E+00
   57         6       129.467723        0.000000000000E+00
   58         1        27.903817        0.159599453381E-03
   58         2        21.037928        0.000000000000E+00
   58         3        21.037928        0.000000000000E+00
   58         4       148.717629        0.228672660155E-04
   58         5       129.437885        0.000000000000E+00
   58         6       129.437885        0.000000000000E+00
   59         1        28.383582        0.154310425231E-03
   59         2        21.396841        0.000000000000E+00
   59         3        21.396841        0.000000000000E+00
   59         4       149.129526        0.215426561217E-04
   59         5       129.406242        0.000000000000E+00
